Bénéficiaire,Adresse,Descriptif,Montant,Nom,Prénom,Département,Groupe,"Programme budgétaire",ID_Acteur
"Télé Bocal","Maison des associations
1/3 rue Frédérique Lemaître
75020 Paris","Mise en œuvre d'ateliers de production locale proposant d’utiliser l'image comme une valorisation du travail des artistes",5000.00,BAUPIN,Denis,Paris,Ecolo,313-03,PA609016
"Mieux se déplacer à Bicyclette","MDB –
37 boulevard Bourdon
75004 Paris","Réalisation des supports de communication pour faire connaître ses nouvelles dispositions sur l'usage de la bicyclette et diffusion",4000.00,BAUPIN,Denis,Paris,Ecolo,203-15,PA609016
"Festival du livre et de la presse d'écologie","6 cité de l’Ermitage
75020 Paris","Organisation du Festival du livre et de la presse d’écologie Promotion du livre et de l’écrit, information, sensibilisation et éducation à l’environnement",3500.00,BAUPIN,Denis,Paris,Ecolo,334-01,PA609016
ARDHIS,"76 cours de Vincennes
75012 Paris","Mise en place d’outils de communication : plaquette multilingue qui pourrait être mise à disposition dans les des bureaux de l’Ofpra (couples binationaux)",2500.00,BAUPIN,Denis,Paris,Ecolo,177-11,PA609016
"Act Up","BP 287
75525 Paris Cedex 11","Mise à jour et réédition des Guides de la collection « information=pouvoir » ; publication d’un nouveau Guide consacré à la co-infection VIH/VHC",5000.00,BAUPIN,Denis,Paris,Ecolo,204-13,PA609016
"Novo Ideo","5 Rue des Goncourt
75011  Paris","Evolution du site (interfaçage interactive), création de podcasts audio, évènements thématiques",2000.00,BAUPIN,Denis,Paris,Ecolo,129-11,PA609016
"Groupement de Scientifiques pour l'Information sur l'Energie Nucléaire (GSIEN)","2 allée François Villon
91400 ORSAY","Développement et diffusion d'une base d'analyse et de suivi du vieillissement des réacteurs nucléaires en France",3000.00,BAUPIN,Denis,Paris,Ecolo,174-01,PA609016
Adéquations,"c/o Maison des associations
206 quai de Valmy
75010 Paris","Organisation d'un colloque sur le thème des liens entre les enjeux, de genre (égalité femmes-hommes), écologie, économie, du territorial à l’international",2000.00,BAUPIN,Denis,Paris,Ecolo,137-11,PA609016
"LE CLER","2-B, rue Jules Ferry
93100 Montreuil","Information des copropriétés sur la rénovation énergétique par la mise en place d'un site internet, mise en place d'une écomatériauthèque",10000.00,BAUPIN,Denis,Paris,Ecolo,174-01,PA609016
"Solagro
(Toulouse)","75, avenue de Muret - CS 27608
31076  Toulouse","Réalisation de supports de communication pédagogiques  pour permettre une appropriation des propositions du projet  Afterres2050.",8000.00,BAUPIN,Denis,Paris,Ecolo,154-14,PA609016
