Phase;Type de mission;Code Mission;Mission;Code Programme;Programme;Code Action;Action;Code Ministère;Ministère
PLF 2019;Budget général;TR;Action et transformation publiques;348;Rénovation des cités administratives et autres sites domaniaux multi-occupants;11;Etudes;07;Action et comptes publics
PLF 2019;Budget général;TR;Action et transformation publiques;348;Rénovation des cités administratives et autres sites domaniaux multi-occupants;12;Travaux et gros entretien à la charge du propriétaire;07;Action et comptes publics
PLF 2019;Budget général;TR;Action et transformation publiques;348;Rénovation des cités administratives et autres sites domaniaux multi-occupants;13;Acquisitions, construction;07;Action et comptes publics
PLF 2019;Budget général;TR;Action et transformation publiques;349;Fonds pour la transformation de l'action publique;01;Fonds pour la transformation de l’action publique;07;Action et comptes publics
PLF 2019;Budget général;TR;Action et transformation publiques;351;Fonds d'accompagnement interministériel Ressources humaines;01;Accompagnement interministériel Ressources humaines;07;Action et comptes publics
PLF 2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;01;Coordination de l'action diplomatique;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;02;Action européenne;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;04;Contributions internationales;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;05;Coopération de sécurité et de défense;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;06;Soutien;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;07;Réseau diplomatique;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;01;Appui au réseau;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;02;Coopération culturelle et promotion du français;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;03;Objectifs de développement durable;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;04;Enseignement supérieur et recherche;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;05;Agence pour l'enseignement français à l'étranger;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;06;"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""";01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;07;Diplomatie économique et développement du tourisme;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;01;Offre d'un service public de qualité aux Français à l'étranger;01;Europe et affaires étrangères
PLF 2019;Budget général;AA;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;02;Accès des élèves français au réseau AEFE;01;Europe et affaires étrangères
