Phase;Type de mission;Mission;Code Programme;Programme;Code Action;Action
PLF 2017;Budget général;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;1;Coordination de l'action diplomatique
PLF 2017;Budget général;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;2;Action européenne
PLF 2017;Budget général;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;4;Contributions internationales
PLF 2017;Budget général;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;5;Coopération de sécurité et de défense
PLF 2017;Budget général;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;6;Soutien
PLF 2017;Budget général;Action extérieure de l'État;105;Action de la France en Europe et dans le monde;7;Réseau diplomatique
PLF 2017;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;1;Appui au réseau
PLF 2017;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;2;Coopération culturelle et promotion du français
PLF 2017;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;3;Objectifs de développement durable
PLF 2017;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;4;Enseignement supérieur et recherche
PLF 2017;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;5;Agence pour l'enseignement français à l'étranger
PLF 2017;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;6;"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence"""
PLF 2017;Budget général;Action extérieure de l'État;185;Diplomatie culturelle et d'influence;7;Diplomatie économique et développement du tourisme
PLF 2017;Budget général;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;1;Offre d'un service public de qualité aux Français à l'étranger
PLF 2017;Budget général;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;2;Accès des élèves français au réseau AEFE
PLF 2017;Budget général;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;3;Instruction des demandes de visa
PLF 2017;Budget général;Administration générale et territoriale de l'État;307;Administration territoriale;1;Coordination de la sécurité des personnes et des biens
PLF 2017;Budget général;Administration générale et territoriale de l'État;307;Administration territoriale;2;Réglementation générale, garantie de l'identité et de la nationalité et délivrance des titres
PLF 2017;Budget général;Administration générale et territoriale de l'État;307;Administration territoriale;3;Contrôle de légalité et conseil aux collectivités territoriales
PLF 2017;Budget général;Administration générale et territoriale de l'État;307;Administration territoriale;4;Pilotage territorial des politiques gouvernementales
PLF 2017;Budget général;Administration générale et territoriale de l'État;307;Administration territoriale;5;Animation et soutien du réseau
PLF 2017;Budget général;Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;1;Financement des partis
PLF 2017;Budget général;Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;2;Organisation des élections
PLF 2017;Budget général;Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;3;Commission nationale des comptes de campagne et des financements politiques
PLF 2017;Budget général;Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;4;Cultes
PLF 2017;Budget général;Administration générale et territoriale de l'État;232;Vie politique, cultuelle et associative;5;Vie associative
PLF 2017;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;1;État-major et services centraux
PLF 2017;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;3;Système d'information et de communication
PLF 2017;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;4;Action sociale et formation
PLF 2017;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;5;Affaires immobilières
PLF 2017;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;6;Affaires juridiques et contentieuses
PLF 2017;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;8;Immigration, asile et intégration
PLF 2017;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;9;Sécurité et éducation routières
PLF 2017;Budget général;Administration générale et territoriale de l'État;216;Conduite et pilotage des politiques de l'intérieur;10;Fonds interministériel de prévention de la délinquance
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;21;Adaptation des filières à l'évolution des marchés
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;22;Gestion des crises et des aléas de la production agricole
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;23;Appui au renouvellement et à la modernisation des exploitations agricoles
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;24;Gestion équilibrée et durable des territoires
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;25;Protection sociale
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;26;Gestion durable de la forêt et développement de la filière bois
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;149;Économie et développement durable des entreprises agricoles, agroalimentaires et forestières;27;Moyens de mise en oeuvre des politiques publiques et gestion des interventions
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;1;Prévention et gestion des risques inhérents à la production végétale
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;2;Lutte contre les maladies animales et protection des animaux
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;3;Prévention et gestion des risques sanitaires liés aux denrées alimentaires
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;4;Actions transversales
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;5;Elimination des cadavres et des sous-produits animaux
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;6;Mise en oeuvre de la politique de sécurité et de qualité sanitaires de l'alimentation
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;8;Qualité de l'alimentation et offre alimentaire
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;215;Conduite et pilotage des politiques de l'agriculture;1;Moyens de l'administration centrale
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;215;Conduite et pilotage des politiques de l'agriculture;2;Évaluation de l'impact des politiques publiques et information économique
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;215;Conduite et pilotage des politiques de l'agriculture;3;Moyens des directions régionales de l'alimentation, de l'agriculture et de la forêt, des directions de l'alimentation, de l'agriculture et de la forêt et directions départementales des territoires (et de la mer)
PLF 2017;Budget général;Agriculture, alimentation, forêt et affaires rurales;215;Conduite et pilotage des politiques de l'agriculture;4;Moyens communs
PLF 2017;Budget général;Aide publique au développement;110;Aide économique et financière au développement;1;Aide économique et financière multilatérale
PLF 2017;Budget général;Aide publique au développement;110;Aide économique et financière au développement;2;Aide économique et financière bilatérale
PLF 2017;Budget général;Aide publique au développement;110;Aide économique et financière au développement;3;Traitement de la dette des pays pauvres
PLF 2017;Budget général;Aide publique au développement;209;Solidarité à l'égard des pays en développement;2;Coopération bilatérale
PLF 2017;Budget général;Aide publique au développement;209;Solidarité à l'égard des pays en développement;5;Coopération multilatérale
PLF 2017;Budget général;Aide publique au développement;209;Solidarité à l'égard des pays en développement;7;Coopération communautaire
PLF 2017;Budget général;Aide publique au développement;209;Solidarité à l'égard des pays en développement;8;"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement"""
PLF 2017;Budget général;Aide publique au développement;209;Solidarité à l'égard des pays en développement;9;Actions de co-développement
PLF 2017;Budget général;Anciens combattants, mémoire et liens avec la nation;167;Liens entre la Nation et son armée;1;Journée défense et citoyenneté
PLF 2017;Budget général;Anciens combattants, mémoire et liens avec la nation;167;Liens entre la Nation et son armée;2;Politique de mémoire
PLF 2017;Budget général;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;1;Administration de  la dette viagère
PLF 2017;Budget général;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;2;Gestion  des droits liés aux pensions militaires d'invalidité
PLF 2017;Budget général;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;3;Solidarité
PLF 2017;Budget général;Anciens combattants, mémoire et liens avec la nation;169;Reconnaissance et réparation en faveur du monde combattant;7;Actions en faveur des rapatriés
PLF 2017;Budget général;Anciens combattants, mémoire et liens avec la nation;158;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;1;Indemnisation des orphelins de la déportation et des victimes de spoliations du fait des législations antisémites en vigueur pendant l'Occupation
